Adhyaya	Text_no	Hymn
1	1	KITRA Gâṅgyâyani , forsooth, wishing to perform a sacrifice, chose Âruni (Uddâlaka , to be his chief priest). But Âruni sent his son, Svetaketu, and said: 'Perform the sacrifice for him.' When Svetaketu  had arrived, Kitra asked him: 'Son of Gautama , is there a hidden place in the world where you are able to place me, or is it the other way, and are you going to place me in the world to which it (that other way) leads ?'He answered and said: 'I do not know this. But, let me ask the master.' Having approached his father, he asked: 'Thus has Kitra asked me; how shall I answer?'Âruni said: 'I also do not know this. Only after having learnt the proper portion of the Veda in Kitra's own dwelling, shall we obtain what others give us (knowledge). Come, we will both go.'Having said this he took fuel in his hand (like a pupil), and approached Kitra Gâṅgyâyani, saying: 'May I come near to you?' He replied: 'You are worthy of Brahman , O Gautama, because you were not led away by pride. Come hither, I shall make you know clearly.'
1	2	And Kitra said: All who depart from this world (or this body) go to the moon . In the former, (the bright) half, the moon delights in their spirits; in the other, (the dark) half, the moon sends them onto be born again . Verily, the moon is the door of the Svarga world (the heavenly world). Now, if a man objects to the moon (if one is not satisfied with life there) the moon sets him free . But if a man does not object, then the moon sends him down as rain upon this earth. And according to his deeds and according to his knowledge he is born again here as a worm, or as an insect, or as a fish, or as a bird, or as a lion, or as a boar, or as a serpent , or as a tiger, or as a man, or as something else in different places . When he has thus returned to the earth, some one (a sage) asks: 'Who art thou?' And he should answer: 'From the wise moon, who orders the seasons , when it is born consisting of fifteen parts, from the moon who is the home of our ancestors, the seed was brought. This seed, even me, they (the gods mentioned in the Pañkâgnividyâ ) gathered up in an active man, and through an activeman they brought me to a mother. Then I, growing up to be born, a being living by months, whether twelve or thirteen, was together with my father, who also lived by (years of) twelve or thirteen months, that I might either know it (the true Brahman) or not know it. Therefore, O ye seasons , grant that I may attain immortality (knowledge of Brahman). By this my true saying, by this my toil (beginning with the dwelling in the moon and ending with my birth on earth) I am (like) a season, and the child of the seasons.' 'Who art thou?' the sage asks again. 'I am thou,' he replies. Then he sets him free  (to proceed onward).He (at the time of death), having reached the path of the gods, comes to the world of Agni (fire), to the world of Vâyu (air), to the world of Varuna, to the world of Indra, to the world of Pragâpati (Virâg), to the world of Brahman (Hiranyagarbha). In that world there is the lake Âra , the moments called Yeshtiha , the river Vigarâ (age-less), the tree Ilya , the city Sâlagya, the palace Aparâgita (unconquerable), the door-keepers Indraand Pragâpati, the hall of Brahman, called Vibhu  (built by vibhu, egoism), the throne Vikakshanâ (buddhi, perception), the couch Amitaugas (endless splendour), and the beloved Mânasî (mind) and her image Kâkshushî (eye), who, as if taking flowers, are weaving the worlds, and the Apsaras, the Ambâs (sruti, sacred scriptures), and Ambâyavîs (buddhi, understanding), and the rivers Ambayâs (leading to the knowledge of Brahman). To this world he who knows this (who knows the Paryaṅka-vidyâ) approaches. Brahman says to him: 'Run towards him (servants) with such worship as is due to myself. He has reached the river Vigarâ (age-less), he will never age.
1	3	Then five hundred Apsaras go towards him, one hundred with garlands in their hands, one hundred with ointments in their hands, one hundred with perfumes in their hands, one hundred with garments in their hands, one hundred with fruit  in their hands. They adorn him with an adornment worthy of Brahman, and when thus adorned with the adornment of Brahman, the knower of Brahman moves towards Brahman (neut.)  He comes to the lake Âra, and he crosses it by the mind, while those who come to it without knowing the truth , are drowned. He comes to the moments called Yeshtiha, they flee from him.He comes to the river Vigarâ, and crosses it by the mind alone, and there shakes off his good and evil deeds. His beloved relatives obtain the good, his unbeloved relatives the evil he has done. And as a man, driving in a chariot, might look at the two wheels (without being touched by them), thus he will look at day and night, thus at good and evil deeds, and at all pairs (at all correlative things, such as light and darkness, heat and cold, &c.) Being freed from good and freed from evil he, the knower of Brahman (neut.), moves towards Brahman.
1	4	He approaches the tree Ilya, and the odour of Brahman reaches him. He approaches the city Sâlagya, and the flavour of Brahman reaches him. He approaches the palace Aparâgita, and the splendour of Brahman reaches him. He approaches the door-keepers Indra and Pragâpati, and they run away from him. He approaches the hall Vibhu, and the glory of Brahman reaches him (he thinks, I am Brahman). He approaches the throne Vikakshanâ. The Sâman verses, Brihad and Rathantara, are the eastern feet of that throne ; the Sâman verses, Syaita and Naudhasa, its western feet; the Sâman verses, Vairûpa and Vairâga, its sides lengthways (south and north); the Sâman verses, Sâkvara and Raivata, its sides crossways (east and west). That throne is Pragñâ, knowledge, for by knowledge (self-knowledge) he sees clearly. He approaches the couch Amitaugas. That is Prâna (speech). The past and the future are its eastern feet; prosperity and earth its western feet; the Sâman verses, Brihad and Rathantara, are the two sides lengthways of the couch (south and north);the Sâman verses, Bhadra and Yagñâyagñîya, are its cross-sides at the head and feet (east and west); the Rik and Sâman are the long sheets  (east and west); the Yagus the cross-sheets (south and north); the moon-beam the cushion; the Udgîtha the (white) coverlet; prosperity the pillow . On this couch sits Brahman, and he who knows this (who knows himself one with Brahman sitting on the couch) mounts it first with one foot only. Then Brahman says to him: 'Who art thou?' and he shall answer:
1	5	'I am (like) a season, and the child of the seasons, sprung from the womb of endless space, from the light (from the luminous Brahman). The light, the origin of the year, which is the past, which is the present, which is all living things, and all elements, is the Self . Thou art the Self. What thou art, that am UBrahman says to him: 'Who am I?' He shall answer: 'That which is, the true' (Sat-tyam).Brahman asks: 'What is the true?' He says to him: 'What is different from the gods and from the senses (prâna) that is Sat, but the gods and thesenses are Tyam. Therefore by that name Sattya (true) is called all this whatever there is. All this thou art.'
1	6	This is also declared by a verse: 'This great Rishi, whose belly is the Yagus, the head the Sâman, the form the Rik, is to be known as being imperishable, as being Brahman.'Brahman says to him: 'How dost thou obtain my male names?' He should answer: 'By breath (prânah).'Brahman asks: 'How my female names?' He should answer: 'By speech (vâk).'Brahman asks: 'How my neuter names?' He should answer: 'By mind (manas).''How smells?' 'By the nose.' 'How forms?' 'By the eye.' 'How sounds?' 'By the ear.' 'How flavours of food?' 'By the tongue.' 'How actions?' 'By the hands.' 'How pleasures and pain?' 'By the body.' 'How joy, delight, and offspring?' 'By the organ.' 'How journeyings?' 'By the feet.' 'How thoughts, and what is to be known and desired?' 'By knowledge (pragñâ) alone.'Brahman says to him: 'Water indeed is this my world , the whole Brahman world, and it is thine.'Whatever victory, whatever might belongs to Brahman, that victory and that might he obtains who knows this, yea, who knows this .
2	1	Prâna (breath)  is Brahman, thus says Kaushîtaki. Of this prâna, which is Brahman, the mind (manas) is the messenger, speech the housekeeper, the eye the guard, the ear the informant. He who knows mind as the messenger of prâna, which is Brahman, becomes possessed of the messenger. He who knows speech as the housekeeper, becomes possessed of the housekeeper. He who knows the eye as the guard, becomes possessed of the guard. He who knows the ear as the informant, becomes possessed of the informant.Now to that prâna, which is Brahman, all these deities (mind, speech, eye, ear) bring an offering, though he asks not for it, and thus to him who knows this all creatures bring an offering, though he asks not for it. For him who knows this, there is this Upanishad (secret vow), 'Beg not!' As a man who has begged through a village and got nothing sits down and says, 'I shall never eat anything given by those people,' and as then those who formerly refused him press him (to accept their alms), thus is the rule for him who begs not, but the charitable will press him and say, 'Let us give to thee.'
2	2	Prâna (breath) is Brahman, thus says Paiṅgya. And in that prâna, which is Brahman, the eyestands firm behind speech, the ear stands firm behind the eye, the mind stands firm behind the car, and the spirit stands firm behind the mind . To that prâna, which is Brahman, all these deities bring an offering, though he asks not for it, and thus to him who knows this, all creatures bring an offering, though he asks not for it. For him who knows this, there is this Upanishad (secret vow), 'Beg not!' As a man who has begged through a village and got nothing sits down and says, 'I shall never eat anything given by those people,' and as then those who formerly refused him press him (to accept their alms), thus is the rule for him who begs not, but the charitable will press him and say, 'Let us give to thee.'
2	3	Now follows the attainment of the highest treasure (scil. prâna, spirit ). If a man meditates on that highest treasure, let him on a full moon or a new moon, or in the bright fortnight, under an auspicious Nakshatra, at one of these proper times, bending his right knee, offer oblations of ghee with a ladle (sruva), after having placed the fire, swept the ground , strewn the sacred grass, and sprinkled water. Let him say: 'The deity called Speech isthe attainer, may it attain this for me from him (who possesses and can bestow what I wish for). Svâhâ to it!''The deity called prâna (breath) is the attainer, may it attain this for me from him. Svâhâ to it!''The deity called the eye is the attainer, may it attain this for me from him. Svâhâ to it!''The deity called the car is the attainer, may it attain this for me from him. Svâhâ to it!''The deity called mind (manas) is the attainer of it, may it attain this for me from him. Svâhâ to it.''The deity called pragñâ (knowledge) is the attainer of it, may it attain this for me from him. Svâhâ to it!'Then having inhaled the smell of the smoke, and having rubbed his limbs with the ointment of ghee, walking on in silence, let him declare his wish, or let him send a messenger. He will surely obtain his wish.
2	4	Now follows the Daiva Smara, the desire to be accomplished by the gods. If a man desires to become dear  to any man or woman, or to any men or women, then at one of the (fore-mentioned) proper times he offers, in exactly the same manner (as before), oblations of ghee, saying: 'I offer thy speech in myself, I (this one here ), Svâhâ.' 'I offer thy ear in myself, I (this one here), Svâhâ.' 'I offer thymind in myself, I (this one here), Svâhâ.' 'I offer thy pragñâ (knowledge) in myself, I (this one here), Svâhâ.' Then having inhaled the smell of the smoke, and having rubbed his limbs with the ointment of. ghee, walking on in silence, let him try to come in contact or let him stand speaking in the wind, (so that the wind may carry his words to the person by whom he desires to be loved). Surely he becomes dear, and they think of him.
2	5	Now follows the restraint (samyamana) instituted by Pratardana (the son of Divodâsa): they call it the inner Agni-hotra. So long as a man speaks, he cannot breathe, he offers all the while his prâna (breath) in his speech. And so long as a man breathes, he cannot speak, he offers all the while his speech in his breath. These two endless and immortal oblations he offers always, whether waking or sleeping. Whatever other oblations there are (those, e. g. of the ordinary Agnihotra, consisting of milk and other things), they have an end, for they consist of works (which, like all works, have an end). The ancients, knowing this (the best Agnihotra), did not offer the (ordinary) Agnihotra.
2	6	Uktha  is Brahman, thus said Sushkabhriṅgâra. Let him meditate on it (the uktha) as the same with the Rik, and all beings will praise him as the best. Let him meditate on it as the same with the Yagus, and all beings will join before himas the best. Let him meditate on it as the same with the Sâman, and all beings will bow before him as the best . Let him meditate on it as the same with might, let him meditate on it as the same with glory, let him meditate on it as the same with splendour. For as the bow is among weapons the mightiest, the most glorious, the most splendid, thus is he who knows this among all beings the mightiest, the most glorious, the most splendid. The Adhvaryu conceives the fire of the altar, which is used for the sacrifice, to be himself. In it he (the Adhvaryu) weaves the Yagus portion of the sacrifice. And in the Yagus portion the Hotri weaves the Rik portion of the sacrifice. And in the Rik portion the Udgâtri weaves the Sâman portion of the sacrifice. He (the Adhvaryu or prâna) is the self of the threefold knowledge; he indeed is the self of it (of prâna). He who knows this is the self of it (becomes prâna ).
2	7	Next follow the three kinds of meditation of the all-conquering (sarvagit) Kaushîtaki. The all-conquering Kaushîtaki adores the sun when rising, having put on the sacrificial cord , having brought water, and having thrice sprinkled the water-cup, saying: 'Thou art the deliverer, deliver me from sin.' In the same manner he adores the sun when in the zenith, saying: 'Thou art the highest deliverer, deliver me highly from sin.' In the same manner he adores the sun when setting, saying: 'Thou art the full deliverer, deliver me fully from sin.' Thus he fully removes whatever sin he committed by day and by night. And in the same manner he who knows this, likewise adores the sun, and fully removes whatever sin he committed by day and by night.
2	8	Then (secondly) let him worship every month (in the year) at the time of the new moon, the moon as it is seen in the west in the same manner (as before described with regard to the sun), or let him send forth his speech toward the moon with two green blades of grass, saying: 'O thou who art mistress of immortal joy, through that gentle heart of mine which abides in the moon, may I never weep for misfortune concerning my children.'The children of him (who thus adores the moon) do not indeed die before him. Thus it is with a man to whom a son is already born.Now for one to whom no son is born as yet. He mutters the three Rik verses. 'Increase, O Soma! may vigour come to thee' (Rv. I, 91, 16; IX, 31, 4).'May milk, may food go to thee' (Rv. I, 91, 18); 'That ray which the Âdityas gladden.'Having muttered these three Rik verses, he says: 'Do not increase by our breath (prâna), by our offspring, by our cattle; he who hates us and whom we hate, increase by his breath, by his offspring, by his cattle. Thus I turn the turn of the god, I return the turn of Âditya .' After these words, having raised the right arm (toward Soma), he lets it go again .
2	9	Then (thirdly) let him worship on the day of the full moon the moon as it is seen in the east in the same manner, saying: 'Thou art Soma, the king, the wise, the five-mouthed, the lord of creatures. The Brâhmana is one of thy mouths; with that mouth thou eatest the kings (Kshatriyas); make me an eater of food by that mouth! The king is one of thy mouths; with that mouth thou eatest the people (Vaisyas); make me an eater of food by that mouth! The hawk is one of thy mouths; with that mouth thou eatest the birds; make me an eater of food by that mouth! Fire is one of thy mouths; with that mouth thou eatest this world; make me an eater of food by that mouth! In thee there is the fifth mouth; with that mouth thou eatest all beings; make me an eater of food by that mouth! Do not decrease by our life, by our offspring, by our cattle; he who hates us and whom we hate, decrease by his life, by his offspring, by his cattle. Thus I turn the turn of the god, I return the turn of Âditya.' After these words, having raised the right arm, he lets it go again.
2	10	Next (having addressed these prayers to Soma) when being with his wife, let him stroke herheart, saying: 'O fair one, who hast obtained immortal joy by that which has entered thy heart through Pragâpati, mayest thou never fall into sorrow about thy children .' Her children then do not die before her.
2	11	Next, if a man has been absent and returns home, let him smell (kiss) his son's head, saying: 'Thou springest from every limb, thou art born from the heart, thou, my son, art my self indeed, live thou a hundred harvests.' He gives him his name, saying: 'Be thou a stone, be thou an axe, be thou solid  gold; thou, my son, art light indeed, live thou a hundred harvests.' He pronounces his name. Then he embraces him, saying: 'As Pragâpati (the lord of creatures) embraced his creatures for their welfare, thus I embrace thee,' (pronouncing his name.) Then he mutters into his right ear, saying: 'O thou, quick Maghavan, give to him' (Rv. III, 36, 10 ). 'O Indra, bestow the best wishes' (Rv. II, 21, 6), thus he whispers into his left ear. Let him then thrice smell (kiss) his head, saying: 'Do not cut off (the line of our race), do not suffer. Live a hundred harvests of life; I kiss thy head, O son, with thy name.' He then thrice makes a lowing sound over his head, saying: 'I low over thee with the lowing sound of cows.'
2	12	Next follows the Daiva Parimara , the dying around of the gods (the absorption of the twoclasses of gods, mentioned before, into prâna or Brahman). This Brahman shines forth indeed when the fire burns, and it dies when it burns not. Its splendour goes to the sun alone, the life (prâna, the moving principle) to the air.This Brahman shines forth indeed when the sun is seen, and it dies when it is not seen. Its splendour goes to the moon alone, the life (prâna) to the air.This Brahman shines forth indeed when the moon is seen, and it dies when it is not seen. Its splendour goes to the lightning alone, its life (prâna) to the air.This Brahman shines forth indeed when the lightning flashes, and it dies when it flashes not. Its splendour goes to the air, and the life (prâna) to the air.Thus all these deities (i. e. fire, sun, moon, lightning), having entered the air, though dead, do not vanish; and out of the very air they rise again. So much with reference to the deities (mythological). Now then with reference to the body (physiological).
2	13	This Brahman shines forth indeed when one speaks with speech, and it dies when one does not speak. His splendour goes to the eye alone, the life (prâna) to breath (prâna).This Brahman shines forth indeed when one sees with the eye, and it dies when one does not see. Its splendour goes to the ear alone, the life (prâna) to breath (prâna).This Brahman shines forth indeed when one hears with the ear, and it dies when one does not hear. Its splendour goes to the mind alone, the life (prâna) to breath (prâna).This Brahman shines forth indeed when one thinks with the mind, and it dies when one does not think. Its splendour goes to the breath (prâna) alone, and the life (prâna) to breath (prâna).Thus all these deities (the senses, &c.), having entered breath or life (prâna) alone, though dead, do not vanish; and out of very breath (prâna) they rise again. And if two mountains, the southern and northern, were to move forward trying to crush him who knows this, they would not crush him. But those who hate him and those whom he hates, they die around him.
